GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,Sign,0,49,0,0,0,13,0,2,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,DemoteKey,0,75,0,2,0,10,0,3,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,Decrypt,0,49,0,0,0,13,0,2,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,CreateKey,0,116,0,4,0,13,0,4,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,KeyExistence,0,46,0,2,0,9,0,3,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,Verify,3,51,1,1,1,13,1,2,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,PublicKey,4,129,0,8,2,23,0,6,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,Encrypt,0,49,0,0,0,13,0,2,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,Login,24,16,0,0,7,5,1,1,1,1
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,PromoteKey,0,75,0,2,0,10,0,3,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,CreateKeySet,7,117,1,5,2,15,1,4,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,CommandFactory,2,145,1,25,1,29,1,14,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,DeleteKeySet,5,41,0,2,2,11,0,3,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Commands,RevokeKey,0,75,0,2,0,10,0,3,0,2
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Utils,JSONUtils,10,102,5,11,3,24,6,6,1,3
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT.Utils,Constants,3,0,0,0,1,0,1,0,1,0
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT,IoT,60,0,0,0,16,0,2,0,2,0
RPiHSM-IoT,ch.bfh.ti.project1.RPiHSM.IoT,SerialHelper,213,0,14,0,66,0,18,0,11,0
